Model,R2 Score,MSE
Linear Regression,0.4484334073373759,8.193357642035377
Random Forest,0.7654188890171187,3.4846326153846134
Decision Tree,0.571093258044917,6.371282051282051
SVR,-0.11973043228942859,16.6332624500154
Gradient Boosting,0.8014150448793084,2.9499204289673204
XGBoost,0.6358960879129298,5.408655292541119
K-Nearest Neighbors,-0.06239999752146619,15.781635897435896
Lasso Regression,0.07999042375023413,13.666468550829158
Ridge Regression,0.4403549516417903,8.313360698039455
Elastic Net,0.09956956752690571,13.375626194854155
